:(
Docs directory /Users/jakubtomanik/Library/Developer/CoreSimulator/Devices/F270A1C8-D246-41BE-8F62-C0CB7F639A9D/data/Containers/Data/Application/EEADAA41-86E5-48BA-B1B1-2685F7EFC2F9/Documents
Chain spec directory /Users/jakubtomanik/Library/Developer/CoreSimulator/Devices/F270A1C8-D246-41BE-8F62-C0CB7F639A9D/data/Containers/Bundle/Application/C43223C7-77A0-4788-94BF-BBE599BC3E67/StaticLibTest.app/custom_foundation.json
2018-10-28 19:22:40  Starting Parity-Ethereum/v2.2.0-unstable-96f909a3e-20181028/x86_64-ios/rustc1.30.0-nightly
2018-10-28 19:22:40  Keys path /Users/jakubtomanik/Library/Developer/CoreSimulator/Devices/F270A1C8-D246-41BE-8F62-C0CB7F639A9D/data/Containers/Data/Application/EEADAA41-86E5-48BA-B1B1-2685F7EFC2F9/Documents/keys/ethereum
2018-10-28 19:22:40  DB path /Users/jakubtomanik/Library/Developer/CoreSimulator/Devices/F270A1C8-D246-41BE-8F62-C0CB7F639A9D/data/Containers/Data/Application/EEADAA41-86E5-48BA-B1B1-2685F7EFC2F9/Documents/chains_light/ethereum/db/906a34e69aec8c0d
2018-10-28 19:22:40  Running in experimental Light Client mode.
2018-10-28 19:22:41  Inserting hardcoded block #6467585 in chain
2018-10-28 19:22:41  Debug API is not available in light client mode.
parity_start returned 0
returned pointer: Optional(0x0000600001dc9f10)
2018-10-28 19:22:42  Public node URL: enode://100ef9d4a516a3571639586b8364cc0b39f98aa68aa9e50cc43d8a0263e2f38a9423e86146fd15317ed81171370c67886ed3fdfb4166b65664273fcb13a08670@192.168.2.101:30303
2018-10-28 19:22:46  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   3/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:22:56  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed  10/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:01  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   7/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:06  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   7/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:11  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   5/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:16  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   6/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:21  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   5/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:26  Syncing #6467585 0x1843…2f98     0.0 hdr/s      0+    0 Qed   6/50 peers   552 bytes cache  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:31  Syncing #6467585 0x1843…2f98     0.0 hdr/s   4095+    0 Qed   6/50 peers   552 bytes cache    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:36  Syncing #6468245 0xd34b…c910   132.0 hdr/s  13675+    0 Qed   6/50 peers    364 KiB cache   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:41  Syncing #6469009 0xac1d…37be   152.8 hdr/s  16752+    0 Qed  11/50 peers    785 KiB cache   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:46  Syncing #6469799 0x73f7…5c45   157.9 hdr/s  18265+    0 Qed   5/50 peers      1 MiB cache   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:51  Syncing #6470543 0xcc29…3576   148.7 hdr/s  17521+    0 Qed   6/50 peers      2 MiB cache   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:23:56  Syncing #6471285 0x1640…98cb   148.3 hdr/s  16779+    0 Qed   5/50 peers      2 MiB cache   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:01  Syncing #6472042 0x2417…c1fc   151.3 hdr/s  16022+    0 Qed   6/50 peers      2 MiB cache   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:06  Syncing #6472927 0xfaaf…a0f7   176.9 hdr/s  15137+    0 Qed   5/50 peers      3 MiB cache   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:11  Syncing #6473739 0x6f3b…1130   162.4 hdr/s  14325+    0 Qed   7/50 peers      3 MiB cache   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:16  Syncing #6474548 0x53a2…d0e6   161.8 hdr/s  13516+    0 Qed  10/50 peers      4 MiB cache   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:21  Syncing #6475350 0x6a65…223e   160.3 hdr/s  12714+    0 Qed   7/50 peers      4 MiB cache    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:26  Syncing #6476173 0x136a…e1fc   164.6 hdr/s  11891+    0 Qed   7/50 peers      5 MiB cache    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:31  Syncing #6476978 0x1a99…4121   161.0 hdr/s  11086+    0 Qed   5/50 peers      5 MiB cache    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:36  Syncing #6477815 0xe79e…f97e   167.4 hdr/s  10249+    0 Qed   5/50 peers      6 MiB cache    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:41  Syncing #6478667 0x2977…47c2   170.4 hdr/s   9397+    0 Qed   6/50 peers      6 MiB cache    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:46  Syncing #6479445 0x42f4…2312   155.6 hdr/s   8619+    0 Qed  10/50 peers      6 MiB cache    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:51  Syncing #6479999 0x363a…a9b6   110.7 hdr/s   8065+    0 Qed   6/50 peers      7 MiB cache    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:24:56  Syncing #6480323 0x0257…ba3f    64.8 hdr/s   7741+    0 Qed   6/50 peers      7 MiB cache    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:01  Syncing #6481159 0xd297…8a36   167.2 hdr/s   6905+    0 Qed   6/50 peers      7 MiB cache    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:06  Syncing #6482200 0xcc20…66ed   208.0 hdr/s   5864+    0 Qed   6/50 peers      8 MiB cache    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:11  Syncing #6483396 0xe861…2b11   239.2 hdr/s   4668+    0 Qed   6/50 peers      9 MiB cache    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:16  Syncing #6484575 0xc79e…d4de   235.8 hdr/s   3489+    0 Qed   6/50 peers      9 MiB cache    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:21  Syncing #6485735 0xe08c…4919   232.0 hdr/s   2329+    0 Qed   6/50 peers     10 MiB cache    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:26  Syncing #6486884 0x6a97…6090   229.8 hdr/s   1180+    0 Qed   6/50 peers     10 MiB cache  884 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:31  Syncing #6487842 0xb199…3b00   191.6 hdr/s    222+    0 Qed   6/50 peers     10 MiB cache  167 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:33  Imported #6488062 0xea29…a96e (8.00 Mgas)
2018-10-28 19:25:36  Syncing #6488450 0x9ef6…913c   121.6 hdr/s   4478+    0 Qed  11/50 peers     10 MiB cache    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:41  Syncing #6489169 0x3e35…f371   143.8 hdr/s  26799+    0 Qed   6/50 peers     10 MiB cache   20 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:51  Syncing #6491198 0x073f…9723   202.7 hdr/s  30018+    0 Qed   7/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:25:56  Syncing #6492182 0x9e03…1604   196.7 hdr/s  29034+    0 Qed   7/50 peers     10 MiB cache   21 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:01  Syncing #6492812 0x5eff…8f55   126.0 hdr/s  30068+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:06  Syncing #6493586 0x07a0…e27c   154.8 hdr/s  30062+    0 Qed   7/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:11  Syncing #6494345 0xc0c3…d082   151.8 hdr/s  30071+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:16  Syncing #6495233 0xa8a2…26d2   177.5 hdr/s  30079+    0 Qed   9/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:21  Syncing #6496262 0x103b…4d0e   205.7 hdr/s  30074+    0 Qed   7/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:26  Syncing #6497420 0x2c60…4700   231.6 hdr/s  30068+    0 Qed   7/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:31  Syncing #6498391 0x7aab…76bc   194.1 hdr/s  29993+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:36  Syncing #6499178 0x5404…d2a1   157.3 hdr/s  30102+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:41  Syncing #6500003 0x38f6…88a1   165.0 hdr/s  30045+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:46  Syncing #6500907 0xa1b1…e36c   180.8 hdr/s  30037+    0 Qed   7/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:51  Syncing #6501884 0x9bbe…1993   195.3 hdr/s  30084+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:26:56  Syncing #6503029 0xae42…e03a   228.9 hdr/s  30091+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:01  Syncing #6504023 0x645d…aebe   198.7 hdr/s  30121+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:06  Syncing #6504986 0x21b1…d4ca   192.6 hdr/s  30054+    0 Qed   8/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:11  Syncing #6505664 0x5c87…c75d   135.5 hdr/s  30016+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:16  Syncing #6506439 0xd9e8…eb4a   154.9 hdr/s  30009+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:21  Syncing #6507642 0xaa0e…f588   240.5 hdr/s  30086+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:26  Syncing #6508685 0x0633…c662   208.6 hdr/s  30067+    0 Qed   9/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:31  Syncing #6509815 0x9555…3278   226.0 hdr/s  30089+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:36  Syncing #6510102 0xab92…dc45    57.4 hdr/s  30058+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:41  Syncing #6511179 0x076a…7dbc   215.4 hdr/s  30005+    0 Qed   9/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:46  Syncing #6512250 0x3aaf…2a0b   214.0 hdr/s  30086+    0 Qed  10/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:51  Syncing #6513480 0xcdb8…0be1   245.9 hdr/s  30008+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:27:56  Syncing #6514807 0x8c5e…e02e   265.3 hdr/s  30089+    0 Qed  12/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:01  Syncing #6516048 0xf268…2458   248.1 hdr/s  30000+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:06  Syncing #6517262 0x7354…6124   242.7 hdr/s  30066+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:11  Syncing #6518301 0x7906…6fbd   207.7 hdr/s  30051+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:16  Syncing #6519388 0xaafa…3a8c   217.3 hdr/s  29988+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:21  Syncing #6520453 0x60c1…1443   212.9 hdr/s  30075+    0 Qed  11/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:26  Syncing #6521424 0x6d0a…ce45   194.1 hdr/s  30000+    0 Qed  12/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:31  Syncing #6522651 0xc7ad…b36a   245.3 hdr/s  30053+    0 Qed  12/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:36  Syncing #6523782 0xbbb2…6180   226.1 hdr/s  29563+    0 Qed  13/50 peers     10 MiB cache   22 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:41  Syncing #6524880 0x9760…21e3   219.5 hdr/s  28465+    0 Qed   6/50 peers     10 MiB cache   21 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:46  Syncing #6525829 0x88b8…e152   189.8 hdr/s  27516+    0 Qed   9/50 peers     10 MiB cache   20 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:51  Syncing #6526763 0x0b37…82a5   186.7 hdr/s  26582+    0 Qed   9/50 peers     10 MiB cache   19 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:28:56  Syncing #6527703 0x3f84…c057   188.0 hdr/s  25642+    0 Qed   9/50 peers     10 MiB cache   19 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:01  Syncing #6528712 0x2f59…215e   201.8 hdr/s  24633+    0 Qed   9/50 peers     10 MiB cache   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:06  Syncing #6529873 0x288b…f82a   232.2 hdr/s  23472+    0 Qed   9/50 peers     10 MiB cache   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:11  Syncing #6530988 0x562b…d1bc   223.0 hdr/s  22357+    0 Qed   9/50 peers     10 MiB cache   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:16  Syncing #6532003 0x21d9…6f15   202.9 hdr/s  21342+    0 Qed   9/50 peers     10 MiB cache   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:21  Syncing #6533153 0x24d8…881f   229.9 hdr/s  20192+    0 Qed   9/50 peers     10 MiB cache   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:26  Syncing #6534291 0xd359…4109   227.5 hdr/s  19054+    0 Qed   9/50 peers     10 MiB cache   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:31  Syncing #6535486 0x2c58…56b6   239.0 hdr/s  17859+    0 Qed   9/50 peers     10 MiB cache   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:36  Syncing #6536659 0x51ab…e166   234.5 hdr/s  16686+    0 Qed   9/50 peers     10 MiB cache   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:41  Syncing #6537502 0x4249…f373   168.6 hdr/s  15843+    0 Qed   9/50 peers     10 MiB cache   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:46  Syncing #6538470 0xd535…0b75   193.5 hdr/s  14875+    0 Qed   9/50 peers     10 MiB cache   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:51  Syncing #6539418 0xe9fc…880f   189.4 hdr/s  13927+    0 Qed   9/50 peers     10 MiB cache   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:29:56  Syncing #6539999 0x3d74…9396   116.1 hdr/s  13346+    0 Qed   9/50 peers     10 MiB cache   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:01  Syncing #6540548 0x1473…2088   109.8 hdr/s  12797+    0 Qed   9/50 peers     10 MiB cache    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:06  Syncing #6541680 0x9205…31ab   226.2 hdr/s  11665+    0 Qed   9/50 peers     10 MiB cache    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:11  Syncing #6542901 0xa86d…baa3   244.1 hdr/s  10444+    0 Qed   9/50 peers     10 MiB cache    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:16  Syncing #6544080 0x8593…7348   235.8 hdr/s   9265+    0 Qed   9/50 peers     10 MiB cache    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:21  Syncing #6545313 0xcf70…db6f   246.5 hdr/s   8032+    0 Qed   9/50 peers     10 MiB cache    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2018-10-28 19:30:26  Syncing #6546551 0xeb09…29ba   247.5 hdr/s   6794+    0 Qed   9/50 peers     10 MiB cache    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
